Symbol,Name,Start,End
0P00007049.TO,GWL Real Estate (GWLRA) DSC,205.9720001220703,363.5079956054688
0P0000705I.TO,RBC Premium Money Market Fund A,9.707913398742676,10.0
0P00007060.TO,RBC Canadian Money Market Fund A,9.752142906188963,10.0
0P00007062.TO,RBC Balanced Fund A,10.539206504821776,15.302900314331055
0P00007067.TO,RBC Select Conservative Portfolio A,17.017158508300778,23.600400924682607
0P00007069.TO,RBC Select Growth Portfolio A,19.53199577331543,33.855701446533196
0P0000706A.TO,RBC Select Balanced Portfolio A,19.31696319580078,30.689899444580078
0P0000706N.TO,Mackenzie Canadian Dividend Fund A,15.141236305236815,22.546300888061523
0P0000706U.TO,"Phillips, Hager & North Canadian Money Market Fund D",9.732260704040527,10.0
0P0000706V.TO,"Phillips, Hager & North Dividend Income Fund D",63.45708465576172,103.93699645996094
0P0000707L.TO,Dynamic Power American Growth,6.630791187286378,29.49519920349121
0P0000707U.TO,CIBC Monthly Income,11.468608856201172,11.78499984741211
0P0000708E.TO,TD Mgd Inc & Mod Growth Port I,9.34239101409912,14.800000190734865
0P0000708H.TO,TD Mgd Income Portfolio I,9.292593955993652,12.68000030517578
0P0000709N.TO,BMO Dividend A,38.228858947753906,76.45069885253906
0P0000709S.TO,Fidelity Small Cap America Sr A,17.12799072265625,67.42620086669922
0P000070AA.TO,Fidelity Canadian Growth Company Sr A,22.235307693481445,81.62210083007812
0P000070AW.TO,CI Portfolio Series Income,10.036324501037598,11.246899604797363
0P000070CR.TO,CI Signature Select Canadian A,14.377577781677244,26.09779930114746
0P000070CX.TO,CI Signature High Income,11.895343780517578,12.525699615478516
0P000070DS.TO,AGF American Growth Class,16.5,77.4813003540039
0P000070EJ.TO,MD Growth Investments Limited,8.130000114440918,23.79999923706055
0P000070EL.TO,London Life Mortgage (Portico),207.3179931640625,227.94900512695312
0P000070EX.TO,IG Mackenzie Mutual of Canada C,16.06846809387207,19.999799728393555
0P000070EY.TO,IG Mackenzie Mortgage and Short Term Income Fund C,5.004262447357178,4.98960018157959
0P000070F3.TO,IG Mackenzie North American Equity Fund C,16.141227722167972,25.14949989318848
0P000070F5.TO,IG Mackenzie Dividend Fund C,18.58589172363281,22.635900497436523
0P000070FG.TO,Mackenzie Income Fund - A,2.3775691986083984,1.888499975204468
0P000070G0.TO,Mackenzie US All Cap Growth Fund Sr A,7.599699974060059,33.753101348876946
0P000070GW.TO,Fidelity Canadian Disciplined Equity Fund A,22.816181182861328,45.95920181274414
0P000070GW.TO,Fidelity Canadian Disciplined Equity Fund A,22.816181182861328,45.95920181274414
0P000070HK.TO,Fidelity Canadian Asset Allocation Fund A,22.92611694335937,30.72640037536621
0P000070HM.TO,TD Mgd Aggressive Growth Port I,7.679184436798098,15.489999771118164
0P000070HN.TO,TD Mgd Balanced Growth Port I,8.820838928222656,15.770000457763672
0P000070IV.TO,TD Health Sciences - I,16.059999465942386,106.75
0P000070IW.TO,TD U.S. Blue Chip Equity Fund I Series,11.479999542236328,68.56999969482422
0P000070J7.TO,CI Signature Canadian Balanced,12.445369720458984,17.086700439453125
0P000070KX.TO,RBC Monthly Income Fund A,11.654417991638185,14.683099746704102
0P000070KZ.TO,Fidelity U.S. Focused Stock Fund Series A,15.155500411987305,69.29160308837889
0P000070LL.TO,TD Dividend Growth - I,45.73485946655274,81.94999694824219
0P000070LV.TO,CI Canadian Investment A,19.1842041015625,33.10120010375977
0P000070MW.TO,Franklin Quotential Balanced Growth Portfolio A,5.902822017669678,8.627200126647951
0P000070NQ.TO,TD Glbl Entertainment & Comm - I,19.5,135.94000244140622
0P000070NS.TO,BMO Monthly Income A,7.058138370513916,6.704500198364258
0P000070OX.TO,Scotia Canadian Income Fund Series A,12.405365943908693,14.172300338745115
0P000070Q6.TO,Fidelity True North Sr A,23.916584014892567,46.74929809570313
0P000070R0.TO,TD Monthly Income - I,14.482309341430664,21.61000061035156
0P000070RT.TO,Mackenzie Canadian Growth Balanced Fund - A,7.76531457901001,12.573200225830078
0P000070RW.TO,IA Clarington Strategic Income Fund Series Y,4.365325450897217,3.5590000152587886
0P000070UN.TO,Fidelity Canadian Large Cap Sr A,22.75140190124512,43.364200592041016
0P000070UR.TO,Renaissance Global Growth,7.82889986038208,23.55940055847168
0P000070UZ.TO,Invesco Income Growth Fund Series SC,9.663595199584961,16.76300048828125
0P000070V1.TO,Invesco Global Companies Fund Series SC,23.61532974243164,64.40399932861328
0P00007122.TO,TD Canadian Equity - I,22.486141204833984,37.060001373291016
0P0000712J.TO,CIBC Money Market,9.776312828063963,10.0
0P0000712O.TO,Scotia Canadian Balanced,18.196367263793945,27.390300750732425
0P0000712Y.TO,BMO Asset Allocation A,15.011484146118164,22.61960029602051
0P00007142.TO,Investors Income Plus Portfolio C,7.026278018951416,7.976799964904785
0P00007149.TO,Mawer International Equity Fund Class A,27.34115791320801,70.33409881591797
0P0000714B.TO,Mawer New Canada A,32.51676559448242,88.08200073242188
0P0000714C.TO,Mawer Tax Effective Balanced Fund Class A,18.222558975219727,41.47520065307617
0P0000714D.TO,Mawer Balanced Fund Class A,14.399947166442873,33.879199981689446
0P0000715P.TO,London Life Dividend (GWLIM),23.336299896240234,38.542701721191406
0P0000716B.TO,Mawer US Equity A,16.018959045410153,69.41490173339844
0P00007172.TO,RBC Canadian Short-Term Income Fund A,10.760088920593262,10.877099990844727
0P0000718Q.TO,Mackenzie Ivy Global Balanced Fund - A,5.979574680328369,11.724100112915039
0P0000719G.TO,BMO Canadian Equity A,20.781147003173828,31.87430000305176
0P000071B9.TO,Fidelity NorthStar Sr A,12.375370979309082,30.01309967041016
0P000071BD.TO,Mackenzie US Mid Cap Growth Class - A,17.9215145111084,47.1244010925293
0P000071C8.TO,Scotia Canadian Dividend Fund Series A,33.598426818847656,69.37020111083984
0P000071CI.TO,Mackenzie Ivy Foreign Equity Fund - A,27.05075645446777,50.94509887695313
0P000071CL.TO,HSBC Mortgage Fund Investor Series,11.317136764526367,11.666500091552734
0P000071GJ.TO,Fidelity American High Yield Sr A,6.249868392944336,8.771699905395508
0P000071GJ.TO,Fidelity American High Yield Sr A,6.249868392944336,8.771699905395508
0P000071H9.TO,Epoch Global Equity Fund - I Series,11.08509349822998,24.93000030517578
0P000071HD.TO,TD Science & Technology - I,14.279999732971193,135.25
0P000071HI.TO,Mackenzie Canadian Growth Fund - A,18.46137809753418,38.94319915771485
0P000071HL.TO,AGF Fixed Income Plus Fund,10.862957000732422,12.909600257873535
0P000071JH.TO,Fidelity Canadian Money Market Series A,9.86596965789795,10.0
0P000071LP.TO,Mackenzie Ivy Global Balanced Fund - T8,6.894912242889402,6.993500232696532
0P000071LQ.TO,TD Monthly Income - A,13.659383773803713,20.38999938964844
0P000071MZ.TO,TD U.S. Blue Chip Equity Fund A Series,5.135900020599365,30.68950080871582
0P000071N2.TO,TD Science & Technology - A,3.2832999229431152,31.17609977722168
0P000071N5.TO,TD Health Sciences - A,7.691299915313723,51.22489929199219
0P000071N7.TO,Epoch Global Equity Fund - A Series,6.242692470550537,14.173100471496582
0P000071NA.TO,TD Glbl Entertainment & Comm - A,10.625300407409668,74.2042007446289
0P000071NF.TO,TD Canadian Equity - A,9.39554214477539,15.450300216674805
0P000071PS.TO,CI Black Creek Global Leaders Fund Class D,6.129918575286865,14.692999839782715
0P000071R9.TO,London Life Moderate Profile (PSG),15.188599586486815,21.837099075317386
0P000071RA.TO,London Life Conservative Profile (PSG),15.171099662780762,20.84000015258789
0P000071RE.TO,London Life Balanced Profile (PSG),13.962599754333494,22.361400604248047
0P000071SG.TO,CI Portfolio Series Balanced,19.2249698638916,29.12579917907715
0P000071SJ.TO,Fidelity Canadian Balanced Series A,17.34067726135254,25.29850006103516
0P000071TK.TO,GWL Real Estate (GWLRA) NL,199.63499450683602,346.6239929199219
0P000071UV.TO,Manulife Monthly High Income GIFe 1,19.430700302124023,37.97370147705078
0P000071V6.TO,Manulife Dividend Income Plus Fund Series Adv,6.167533874511719,9.558600425720217
0P000071VK.TO,MDPIM US Equity Pool,4.8507046699523935,16.729999542236328
0P000071YR.TO,Capital Group Global Equity Fund (Canada) Series A,12.114304542541506,42.845401763916016
0P000071ZC.TO,Mackenzie Canadian Growth Balanced Fund - T8,8.656018257141112,6.517099857330322
0P000071ZD.TO,Mackenzie US Mid Cap Growth Class - M,16.230178833007812,55.25719833374024
0P0000720M.TO,TD Dividend Growth - A,16.672979354858402,29.76460075378418
0P0000720R.TO,RBC U.S. Dividend Fund Csl,11.784646034240724,31.111900329589844
0P0000721K.TO,CIBC Managed Income Plus Portfolio,9.544700622558594,13.182299613952635
0P0000723X.TO,Capital Group Global Equity Fund (Canada) Series D,12.053580284118652,45.16339874267578
0P0000724F.TO,RBC Managed Payout Solution-Enhanced Plus A,6.783607006072997,5.956500053405763
0P0000725F.TO,Manulife Fundamental Income Fund Series Adv,11.976994514465332,11.055800437927246
0P0000725G.TO,Scotia Partners Growth Portfolio,12.887290000915527,24.966100692749023
0P0000728C.TO,AGFiQ Dividend Income Fund,11.206585884094238,16.033100128173828
0P0000729E.TO,CI Signature Income & Growth,4.251840114593507,4.464300155639648
0P0000729R.TO,Quadrus Mackenzie US Mid Cap Growth Cl Q,14.978925704956055,46.66799926757813
0P000072CR.TO,CIBC Managed Income Portfolio,9.714123725891113,12.136799812316895
0P000072CS.TO,Counsel Balanced Portfolio Series A,10.853811264038086,16.521299362182614
0P000072CX.TO,Scotia Selected Balanced Income Porfolio Series A,10.655813217163086,15.04640007019043
